Day, III_interest
2015-11-01,8
2015-11-02,6
2015-11-03,5
2015-11-04,6
2015-11-05,5
2015-11-06,6
2015-11-07,9
2015-11-08,8
2015-11-09,6
2015-11-10,6
2015-11-11,6
2015-11-12,7
2015-11-13,6
2015-11-14,9
2015-11-15,9
2015-11-16,6
2015-11-17,6
2015-11-18,6
2015-11-19,7
2015-11-20,7
2015-11-21,9
2015-11-22,12
2015-11-23,9
2015-11-24,8
2015-11-25,9
2015-11-26,14
2015-11-27,14
2015-11-28,15
2015-11-29,14
2015-11-30,9
2015-12-01,9
2015-12-02,10
2015-12-03,10
2015-12-04,10
2015-12-05,15
2015-12-06,17
2015-12-07,11
2015-12-08,12
2015-12-09,12
2015-12-10,12
2015-12-11,14
2015-12-12,24
2015-12-13,29
2015-12-14,28
2015-12-15,31
2015-12-16,38
2015-12-17,54
2015-12-18,85
2015-12-19,100
2015-12-20,93
2015-12-21,71
2015-12-22,59
2015-12-23,57
2015-12-24,54
2015-12-25,57
2015-12-26,69
2015-12-27,64
2015-12-28,51
2015-12-29,45
2015-12-30,43
2015-12-31,38
2016-01-01,39
2016-01-02,46
2016-01-03,42
2016-01-04,26
2016-01-05,18
2016-01-06,16
2016-01-07,14
2016-01-08,15
2016-01-09,21
2016-01-10,21
2016-01-11,13
2016-01-12,10
2016-01-13,9
2016-01-14,8
2016-01-15,10
2016-01-16,14
2016-01-17,16
2016-01-18,14
2016-01-19,9
2016-01-20,8
2016-01-21,7
2016-01-22,7
2016-01-23,12
2016-01-24,12
2016-01-25,6
2016-01-26,6
2016-01-27,5
2016-01-28,6
2016-01-29,6
2016-01-30,9
2016-01-31,9
2016-02-01,5
