Week,LoTR,III
2015-01-04,24,3
2015-01-11,21,3
2015-01-18,18,3
2015-01-25,16,3
2015-02-01,14,3
2015-02-08,16,2
2015-02-15,14,3
2015-02-22,13,3
2015-03-01,14,3
2015-03-08,14,3
2015-03-15,12,3
2015-03-22,15,3
2015-03-29,15,2
2015-04-05,13,3
2015-04-12,12,7
2015-04-19,12,7
2015-04-26,11,5
2015-05-03,12,8
2015-05-10,15,4
2015-05-17,11,4
2015-05-24,12,4
2015-05-31,12,3
2015-06-07,17,3
2015-06-14,18,4
2015-06-21,12,4
2015-06-28,12,4
2015-07-05,11,4
2015-07-12,13,4
2015-07-19,14,4
2015-07-26,12,4
2015-08-02,11,3
2015-08-09,14,4
2015-08-16,11,4
2015-08-23,13,4
2015-08-30,14,5
2015-09-06,12,5
2015-09-13,11,4
2015-09-20,11,4
2015-09-27,11,4
2015-10-04,11,4
2015-10-11,11,5
2015-10-18,14,15
2015-10-25,12,9
2015-11-01,11,9
2015-11-08,11,10
2015-11-15,13,10
2015-11-22,14,17
2015-11-29,12,16
2015-12-06,13,20
2015-12-13,13,81
2015-12-20,15,100
2015-12-27,19,67
2016-01-03,13,32
2016-01-10,11,17
2016-01-17,13,14
2016-01-24,12,10
2016-01-31,11,8
2016-02-07,10,7
2016-02-14,11,6
2016-02-21,10,5
2016-02-28,10,5
2016-03-06,13,5
2016-03-13,12,4
2016-03-20,11,5
2016-03-27,10,6
2016-04-03,10,9
2016-04-10,11,8
2016-04-17,12,6
2016-04-24,10,5
2016-05-01,10,8
2016-05-08,10,5
2016-05-15,10,5
2016-05-22,11,4
2016-05-29,10,4
2016-06-05,12,3
2016-06-12,10,3
2016-06-19,10,3
2016-06-26,11,3
2016-07-03,11,3
2016-07-10,9,3
2016-07-17,10,4
2016-07-24,11,3
2016-07-31,12,3
2016-08-07,9,3
2016-08-14,9,3
2016-08-21,10,3
2016-08-28,10,3
2016-09-04,12,3
2016-09-11,10,3
2016-09-18,10,7
2016-09-25,9,9
2016-10-02,9,4
2016-10-09,9,5
2016-10-16,10,4
2016-10-23,10,4
2016-10-30,9,4
2016-11-06,9,1
2016-11-13,10,1
2016-11-20,11,3
2016-11-27,10,2
